identity,composite,marcKey,person,roles,title,attribution,provision,subjects,genres,relatedWork,recordId,personId,mistral_prediction,is_parent_category,mistral_confidence,mistral_parent_category
54.0,"""Strauss, Richard, 1864-1949"" had the role of ""Contributor"" in relation to the work ""The donkey's shadow: comedy in six scenes"", which has the following provision information: ""London; New York: Boosey & Hawkes, [1968]"". This work is about: ""Operas--Vocal scores with piano"". Its form or genre is: ""Operas"". It is further related to the work ""Esels Schatten. Vocal score. English & German"".","1001 $aStrauss, Richard,$d1864-1949.","Strauss, Richard, 1864-1949",Contributor,The donkey's shadow: comedy in six scenes,"adapted from Christoph Martin Wieland's novel The Abderites, by Hans Adler ; devised by Dom Stephan Schaller ; orchestrated and completed by Karl Haussner ; vocal score by Karl Haussner ; English version by Maria Pelikan","London; New York: Boosey & Hawkes, [1968]",Operas--Vocal scores with piano,Operas,Esels Schatten. Vocal score. English & German,786805,786805#Hub240-18-Agent,"Music, Sound, and Sonic Arts",False,0.9814496040344238,"Arts, Culture, and Creative Expression"
54.0,"""Strauss, Richard, 1864-1949"" had the role of ""Contributor"" in relation to the work ""Capriccio : ein Konversationsstück für Musik in einem Aufzug, op. 85"", which has the following provision information: ""Mainz: B. Schott's Söhne, c1942"". This work is about: ""Operas--Excerpts--Parts; String sextets (Violins (2), violas (2), cellos (2))--Parts"".","1001 $aStrauss, Richard,$d1864-1949.","Strauss, Richard, 1864-1949",Contributor,"Capriccio : ein Konversationsstück für Musik in einem Aufzug, op. 85",von Clemens Krauss und Richard Strauss,"Mainz: B. Schott's Söhne, c1942","Operas--Excerpts--Parts; String sextets (Violins (2), violas (2), cellos (2))--Parts",,,660801,660801#Agent100-15,"Music, Sound, and Sonic Arts",False,0.9999984502792358,"Arts, Culture, and Creative Expression"
54.0,"""Strauss, Richard, 1864-1949"" had the role of ""Contributor"" in relation to the work ""Capriccio : ein Konversationsstück für Musik in einem Aufzug, op. 85"", which has the following provision information: ""Mainz: B. Schott's Söhne, c1942"". This work is about: ""Operas--Excerpts--Parts; String sextets (Violins (2), violas (2), cellos (2))--Parts"". It is further related to the work ""Capriccio. Einleitung"".","1001 $aStrauss, Richard,$d1864-1949.","Strauss, Richard, 1864-1949",Contributor,"Capriccio : ein Konversationsstück für Musik in einem Aufzug, op. 85",von Clemens Krauss und Richard Strauss,"Mainz: B. Schott's Söhne, c1942","Operas--Excerpts--Parts; String sextets (Violins (2), violas (2), cellos (2))--Parts",,Capriccio. Einleitung,660801,660801#Hub240-16-Agent,"Music, Sound, and Sonic Arts",False,0.999998927116394,"Arts, Culture, and Creative Expression"
54.0,"""Strauss, Richard, 1864-1949"" had the role of ""Subject"" in relation to the work ""Strauss tone poems"", which has the following provision information: ""London: British Broadcasting Corp, 1984"". This work is about: ""Strauss, Richard, 1864-1949. Symphonic poems; Symphonic poems--Analysis, appreciation"".","60010$aStrauss, Richard,$d1864-1949.$tSymphonic poems.","Strauss, Richard, 1864-1949",Subject,Strauss tone poems,Michael Kennedy,"London: British Broadcasting Corp, 1984","Strauss, Richard, 1864-1949. Symphonic poems; Symphonic poems--Analysis, appreciation",,,649591,649591#Agent600-21,"Music, Sound, and Sonic Arts",False,0.9999977350234985,"Arts, Culture, and Creative Expression"
58.0,"""Laughlin, James, 1914-1997"" had the role of ""Contributor"" in relation to the work ""Confidential report, and other poems"", which has the following provision information: ""[London]: Gaberbocchus, [1959]"".","1001 $aLaughlin, James,$d1914-1997.","Laughlin, James, 1914-1997",Contributor,"Confidential report, and other poems",,"[London]: Gaberbocchus, [1959]",,,,602814,602814#Agent100-14,Literature and Narrative Arts,False,0.9998842477798462,"Arts, Culture, and Creative Expression"
58.0,"""Laughlin, James, 1914-1997"" had the role of ""Contributor"" in relation to the work ""The owl of Minerva: poems"", which has the following provision information: ""Port Townsend, WA: the Copper Canyon Press, 1987"".","1001 $aLaughlin, James,$d1914-1997.","Laughlin, James, 1914-1997",Contributor,The owl of Minerva: poems,by James Laughlin,"Port Townsend, WA: the Copper Canyon Press, 1987",,,,455953,455953#Agent100-15,Literature and Narrative Arts,False,0.9997778534889221,"Arts, Culture, and Creative Expression"
58.0,"""Laughlin, James, 1914-1997"" had the role of ""Editor"" in relation to the work ""A New Directions reader"", which has the following provision information: ""Norfolk, Conn: J. Laughlin, c1964"". This work is about: ""Literature, Modern--20th century; Annotations (Provenance)--20th century; Herbst, Josephine, 1892-1969--Presentation inscription from J. Laughlin; Laughlin, James, 1914-1997--Presentation inscription to J. Herbst; Laughlin, James, 1914-1997--Presentation inscription to R. Stephan; Stephan, Ruth, 1910-1974--Presentation inscription from J. Laughlin; Williams, Tennessee, 1911-1983--Autograph; Dodd, Jonathan--Ownership"". Its form or genre is: ""Fiction"".","7001 $aLaughlin, James,$d1914-1997,$eeditor.","Laughlin, James, 1914-1997",Editor,A New Directions reader,edited by Hayden Carruth & J. Laughlin,"Norfolk, Conn: J. Laughlin, c1964","Literature, Modern--20th century; Annotations (Provenance)--20th century; Herbst, Josephine, 1892-1969--Presentation inscription from J. Laughlin; Laughlin, James, 1914-1997--Presentation inscription to J. Herbst; Laughlin, James, 1914-1997--Presentation inscription to R. Stephan; Stephan, Ruth, 1910-1974--Presentation inscription from J. Laughlin; Williams, Tennessee, 1911-1983--Autograph; Dodd, Jonathan--Ownership",Fiction,,597895,597895#Agent700-32,Literature and Narrative Arts,False,0.9999992847442627,"Arts, Culture, and Creative Expression"
58.0,"""Laughlin, James, 1914-1997"" had the role of ""Associated person"" in relation to the work ""A New Directions reader"", which has the following provision information: ""Norfolk, Conn: J. Laughlin, c1964"". This work is about: ""Literature, Modern--20th century; Annotations (Provenance)--20th century; Herbst, Josephine, 1892-1969--Presentation inscription from J. Laughlin; Laughlin, James, 1914-1997--Presentation inscription to J. Herbst; Laughlin, James, 1914-1997--Presentation inscription to R. Stephan; Stephan, Ruth, 1910-1974--Presentation inscription from J. Laughlin; Williams, Tennessee, 1911-1983--Autograph; Dodd, Jonathan--Ownership"". Its form or genre is: ""Fiction"".","69214$aLaughlin, James,$d1914-1997","Laughlin, James, 1914-1997",Associated person,A New Directions reader,edited by Hayden Carruth & J. Laughlin,"Norfolk, Conn: J. Laughlin, c1964","Literature, Modern--20th century; Annotations (Provenance)--20th century; Herbst, Josephine, 1892-1969--Presentation inscription from J. Laughlin; Laughlin, James, 1914-1997--Presentation inscription to J. Herbst; Laughlin, James, 1914-1997--Presentation inscription to R. Stephan; Stephan, Ruth, 1910-1974--Presentation inscription from J. Laughlin; Williams, Tennessee, 1911-1983--Autograph; Dodd, Jonathan--Ownership",Fiction,,597895,597895#Agent692-26,Literature and Narrative Arts,False,0.9999992847442627,"Arts, Culture, and Creative Expression"
58.0,"""Laughlin, James, 1914-1997"" had the role of ""Associated person"" in relation to the work ""A New Directions reader"", which has the following provision information: ""Norfolk, Conn: J. Laughlin, c1964"". This work is about: ""Literature, Modern--20th century; Annotations (Provenance)--20th century; Herbst, Josephine, 1892-1969--Presentation inscription from J. Laughlin; Laughlin, James, 1914-1997--Presentation inscription to J. Herbst; Laughlin, James, 1914-1997--Presentation inscription to R. Stephan; Stephan, Ruth, 1910-1974--Presentation inscription from J. Laughlin; Williams, Tennessee, 1911-1983--Autograph; Dodd, Jonathan--Ownership"". Its form or genre is: ""Fiction"".","69214$aLaughlin, James,$d1914-1997","Laughlin, James, 1914-1997",Associated person,A New Directions reader,edited by Hayden Carruth & J. Laughlin,"Norfolk, Conn: J. Laughlin, c1964","Literature, Modern--20th century; Annotations (Provenance)--20th century; Herbst, Josephine, 1892-1969--Presentation inscription from J. Laughlin; Laughlin, James, 1914-1997--Presentation inscription to J. Herbst; Laughlin, James, 1914-1997--Presentation inscription to R. Stephan; Stephan, Ruth, 1910-1974--Presentation inscription from J. Laughlin; Williams, Tennessee, 1911-1983--Autograph; Dodd, Jonathan--Ownership",Fiction,,597895,597895#Agent692-27,Literature and Narrative Arts,False,0.9999992847442627,"Arts, Culture, and Creative Expression"
59.0,"""Joyce, James, 1882-1941"" had the role of ""Subject"" in relation to the work ""James Joyce, 1882-1941, Ulysses, 1922-1982: a centenary exhibition"", which has the following provision information: ""[Buffalo, N.Y.]: Poetry/Rare Books Collection, University Libraries, State University of New York at Buffalo, 1982"". This work is about: ""Joyce, James, 1882-1941. Ulysses--Exhibitions; Beach, Sylvia--Exhibitions; Joyce, James, 1882-1941--Archives; State University of New York at Buffalo. Poetry/Rare Books Collection."". Its form or genre is: ""Catalogs"".","60010$aJoyce, James,$d1882-1941.$tUlysses","Joyce, James, 1882-1941",Subject,"James Joyce, 1882-1941, Ulysses, 1922-1982: a centenary exhibition",,"[Buffalo, N.Y.]: Poetry/Rare Books Collection, University Libraries, State University of New York at Buffalo, 1982","Joyce, James, 1882-1941. Ulysses--Exhibitions; Beach, Sylvia--Exhibitions; Joyce, James, 1882-1941--Archives; State University of New York at Buffalo. Poetry/Rare Books Collection.",Catalogs,,589409,589409#Agent600-22,Literature and Narrative Arts,False,0.9999995231628418,"Arts, Culture, and Creative Expression"
59.0,"""Joyce, James, 1882-1941"" had the role of ""Subject"" in relation to the work ""James Joyce, 1882-1941, Ulysses, 1922-1982: a centenary exhibition"", which has the following provision information: ""[Buffalo, N.Y.]: Poetry/Rare Books Collection, University Libraries, State University of New York at Buffalo, 1982"". This work is about: ""Joyce, James, 1882-1941. Ulysses--Exhibitions; Beach, Sylvia--Exhibitions; Joyce, James, 1882-1941--Archives; State University of New York at Buffalo. Poetry/Rare Books Collection."". Its form or genre is: ""Catalogs"".","60010$aJoyce, James,$d1882-1941","Joyce, James, 1882-1941",Subject,"James Joyce, 1882-1941, Ulysses, 1922-1982: a centenary exhibition",,"[Buffalo, N.Y.]: Poetry/Rare Books Collection, University Libraries, State University of New York at Buffalo, 1982","Joyce, James, 1882-1941. Ulysses--Exhibitions; Beach, Sylvia--Exhibitions; Joyce, James, 1882-1941--Archives; State University of New York at Buffalo. Poetry/Rare Books Collection.",Catalogs,,589409,589409#Agent600-24,Literature and Narrative Arts,False,0.9999995231628418,"Arts, Culture, and Creative Expression"
59.0,"""Joyce, James, 1882-1941"" had the role of ""Subject"" in relation to the work ""The sources and structures of James Joyce's ""Oxen"""", which has the following provision information: ""Ann Arbor, Mich: UMI Research Press, c1983"". This work is about: ""Joyce, James, 1882-1941. Ulysses--Sources; Joyce, James, 1882-1941--Technique"".","60010$aJoyce, James,$d1882-1941.$tUlysses","Joyce, James, 1882-1941",Subject,"The sources and structures of James Joyce's ""Oxen""",by Robert Janusko,"Ann Arbor, Mich: UMI Research Press, c1983","Joyce, James, 1882-1941. Ulysses--Sources; Joyce, James, 1882-1941--Technique",,,332068,332068#Agent600-24,Literature and Narrative Arts,False,0.9999982118606567,"Arts, Culture, and Creative Expression"
59.0,"""Joyce, James, 1882-1941"" had the role of ""Subject"" in relation to the work ""The sources and structures of James Joyce's ""Oxen"""", which has the following provision information: ""Ann Arbor, Mich: UMI Research Press, c1983"". This work is about: ""Joyce, James, 1882-1941. Ulysses--Sources; Joyce, James, 1882-1941--Technique"".","60010$aJoyce, James,$d1882-1941","Joyce, James, 1882-1941",Subject,"The sources and structures of James Joyce's ""Oxen""",by Robert Janusko,"Ann Arbor, Mich: UMI Research Press, c1983","Joyce, James, 1882-1941. Ulysses--Sources; Joyce, James, 1882-1941--Technique",,,332068,332068#Agent600-25,Literature and Narrative Arts,False,0.9999982118606567,"Arts, Culture, and Creative Expression"
59.0,"""Joyce, James, 1882-1941"" had the role of ""Subject"" in relation to the work ""James Joyce"", which has the following provision information: ""New York; Toronto: Farrar & Rinehart, [c1939]"". This work is about: ""Gorman, Herbert Sherman, 1893-1954--Presentation inscription to J.J. Slocum; Slocum, John J.--Presentation inscription from H.S. Gorman; Windham, Donald--Ownership; Campbell, Sandy--Ownership"".","60010$aJoyce, James,$d1882-1941.","Joyce, James, 1882-1941",Subject,James Joyce,by Herbert Gorman; illustrated with photos,"New York; Toronto: Farrar & Rinehart, [c1939]","Gorman, Herbert Sherman, 1893-1954--Presentation inscription to J.J. Slocum; Slocum, John J.--Presentation inscription from H.S. Gorman; Windham, Donald--Ownership; Campbell, Sandy--Ownership",,,595985,595985#Agent600-23,Literature and Narrative Arts,False,1.0,"Arts, Culture, and Creative Expression"
59.0,"""Joyce, James, 1882-1941"" had the role of ""Subject"" in relation to the work ""A Starchamber quiry: a James Joyce centennial volume, 1882-1982"", which has the following provision information: ""London; New York: Methuen, 1982"". This work is about: ""Joyce, James, 1882-1941--Criticism and interpretation"".","60010$aJoyce, James,$d1882-1941","Joyce, James, 1882-1941",Subject,"A Starchamber quiry: a James Joyce centennial volume, 1882-1982",Hugh Kenner ... [et al.] ; with an afterword by Clive Hart ; edited by E.L. Epstein,"London; New York: Methuen, 1982","Joyce, James, 1882-1941--Criticism and interpretation",,,252666,252666#Agent600-19,Literature and Narrative Arts,False,0.9999992847442627,"Arts, Culture, and Creative Expression"
59.0,"""Joyce, James, 1882-1941"" had the role of ""Contributor"" in relation to the work ""The Cornell Joyce collection, a catalogue"", which has the following provision information: ""Ithaca, N. Y.: Cornell University Press, [1961]"". This work is about: ""Joyce, James, 1882-1941--Bibliography; Joyce, James, 1882-1941--Manuscripts--Catalogs"".","7001 $aJoyce, James,$d1882-1941.","Joyce, James, 1882-1941",Contributor,"The Cornell Joyce collection, a catalogue",,"Ithaca, N. Y.: Cornell University Press, [1961]","Joyce, James, 1882-1941--Bibliography; Joyce, James, 1882-1941--Manuscripts--Catalogs",,,10098,10098#Agent700-20,Literature and Narrative Arts,False,0.9999998807907104,"Arts, Culture, and Creative Expression"
59.0,"""Joyce, James, 1882-1941"" had the role of ""Subject"" in relation to the work ""The Cornell Joyce collection, a catalogue"", which has the following provision information: ""Ithaca, N. Y.: Cornell University Press, [1961]"". This work is about: ""Joyce, James, 1882-1941--Bibliography; Joyce, James, 1882-1941--Manuscripts--Catalogs"".","60010$aJoyce, James,$d1882-1941","Joyce, James, 1882-1941",Subject,"The Cornell Joyce collection, a catalogue",,"Ithaca, N. Y.: Cornell University Press, [1961]","Joyce, James, 1882-1941--Bibliography; Joyce, James, 1882-1941--Manuscripts--Catalogs",,,10098,10098#Agent600-18,Literature and Narrative Arts,False,0.9999998807907104,"Arts, Culture, and Creative Expression"
59.0,"""Joyce, James, 1882-1941"" had the role of ""Subject"" in relation to the work ""The Cornell Joyce collection, a catalogue"", which has the following provision information: ""Ithaca, N. Y.: Cornell University Press, [1961]"". This work is about: ""Joyce, James, 1882-1941--Bibliography; Joyce, James, 1882-1941--Manuscripts--Catalogs"".","60010$aJoyce, James,$d1882-1941","Joyce, James, 1882-1941",Subject,"The Cornell Joyce collection, a catalogue",,"Ithaca, N. Y.: Cornell University Press, [1961]","Joyce, James, 1882-1941--Bibliography; Joyce, James, 1882-1941--Manuscripts--Catalogs",,,10098,10098#Agent600-19,Literature and Narrative Arts,False,0.9999998807907104,"Arts, Culture, and Creative Expression"
59.0,"""Joyce, James, 1882-1941"" had the role of ""Contributor"" in relation to the work ""Ulysses"", which has the following provision information: ""Paris: Shakespeare and Company, 1925"".","1001 $aJoyce, James,$d1882-1941.","Joyce, James, 1882-1941",Contributor,Ulysses,by James Joyce,"Paris: Shakespeare and Company, 1925",,,,71623,71623#Agent100-11,Literature and Narrative Arts,False,0.999992847442627,"Arts, Culture, and Creative Expression"
82.0,"""Rowlandson, Thomas, 1756-1827"" had the role of ""Contributor"" in relation to the work ""Medical caricatures"", which has the following provision information: ""New York: Editions Medicina Rara, [1971]"". This work is about: ""Medicine--Caricatures and cartoons; Medicine and art"".","1001 $aRowlandson, Thomas,$d1756-1827.","Rowlandson, Thomas, 1756-1827",Contributor,Medical caricatures,Thomas Rowlandson ; with a foreword by Morris H. Saffron,"New York: Editions Medicina Rara, [1971]",Medicine--Caricatures and cartoons; Medicine and art,,,10238,10238#Agent100-12,Visual Arts and Design,False,0.9998679161071777,"Arts, Culture, and Creative Expression"
82.0,"""Rowlandson, Thomas, 1756-1827"" had the role of ""Subject"" in relation to the work ""Thomas Rowlandson, 1756-1827: an exhibition of drawings and watercolours in conjunction with Morton Morris & Company"", which has the following provision information: ""London: Spink, 1978"". Its form or genre is: ""Biographies"".","60010$aRowlandson, Thomas,$d1756-1827.","Rowlandson, Thomas, 1756-1827",Subject,"Thomas Rowlandson, 1756-1827: an exhibition of drawings and watercolours in conjunction with Morton Morris & Company","[held] 7-23 March, 1978 at Spink Ltd","London: Spink, 1978",,Biographies,,183486,183486#Agent600-16,Visual Arts and Design,False,0.9999971389770508,"Arts, Culture, and Creative Expression"
114.0,"""Newman, John Henry, 1801-1890"" had the role of ""Subject"" in relation to the work ""John Henry Newman: a biography"", which has the following provision information: ""Oxford: Clarendon Press New York: Oxford University Press, 1988"". This work is about: ""Catholic Church--England--Clergy--Biography; Authors, English--19th century--Biography"". Its form or genre is: ""Biographies"".","60010$aNewman, John Henry,$d1801-1890.","Newman, John Henry, 1801-1890",Subject,John Henry Newman: a biography,Ian Ker,"Oxford: Clarendon Press New York: Oxford University Press, 1988","Catholic Church--England--Clergy--Biography; Authors, English--19th century--Biography",Biographies,,867809,867809#Agent600-21,"Religion, Theology, and Spirituality",False,0.8930305242538452,"Humanities, Thought, and Interpretation"
115.0,"""Hogarth, William, 1697-1764"" had the role of ""Subject"" in relation to the work ""Hogarth and his place in European art"", which has the following provision information: ""New York: Basic Books, [c1962]"".","60010$aHogarth, William,$d1697-1764.","Hogarth, William, 1697-1764",Subject,Hogarth and his place in European art,,"New York: Basic Books, [c1962]",,,,12865,12865#Agent600-19,Visual Arts and Design,False,0.9999256134033203,"Arts, Culture, and Creative Expression"
115.0,"""Hogarth, William, 1697-1764"" had the role of ""Contributor"" in relation to the work ""Engravings by Hogarth"", which has the following provision information: ""New York: Dover, [1973]"". This work is about: ""Hogarth, William, 1697-1764"".","1001 $aHogarth, William,$d1697-1764.","Hogarth, William, 1697-1764",Contributor,Engravings by Hogarth,Edited by Sean Shesgreen,"New York: Dover, [1973]","Hogarth, William, 1697-1764",,,9364,9364#Agent100-15,Visual Arts and Design,False,0.9999974966049194,"Arts, Culture, and Creative Expression"
115.0,"""Hogarth, William, 1697-1764"" had the role of ""Subject"" in relation to the work ""Engravings by Hogarth"", which has the following provision information: ""New York: Dover, [1973]"".","60010$aHogarth, William,$d1697-1764.","Hogarth, William, 1697-1764",Subject,Engravings by Hogarth,Edited by Sean Shesgreen,"New York: Dover, [1973]",,,,9364,9364#Agent600-20,Visual Arts and Design,False,0.9999872446060181,"Arts, Culture, and Creative Expression"
115.0,"""Hogarth, William, 1697-1764"" had the role of ""Subject"" in relation to the work ""William Hogarth im Kunsthaus Zürich, Graphische Sammlung: Sittenbilder aus dem 18. Jahrhundert"", which has the following provision information: ""Zürich: Kunsthaus Zürich, c1983"". This work is about: ""Hogarth, William, 1697-1764--Exhibitions; Kunsthaus Zürich. Graphische Sammlung--Exhibitions"". Its form or genre is: ""Catalogs"".","60010$aHogarth, William,$d1697-1764","Hogarth, William, 1697-1764",Subject,"William Hogarth im Kunsthaus Zürich, Graphische Sammlung: Sittenbilder aus dem 18. Jahrhundert",Margrit Bachofen-Moser,"Zürich: Kunsthaus Zürich, c1983","Hogarth, William, 1697-1764--Exhibitions; Kunsthaus Zürich. Graphische Sammlung--Exhibitions",Catalogs,,300158,300158#Agent600-19,Visual Arts and Design,False,0.9999982118606567,"Arts, Culture, and Creative Expression"
